शीर्षक,प्रश्न_क्रमांक,लांब संख्या,नावे,मंत्रीपद,प्रश्न तारीख,प्रश्न,मंत्री नाव,उत्तर तारीख,उत्तर,सभागृह,दस्तऐवज_प्रकार,सत्र,वर्ष,संकेत स्थळ,नाव,तारीख,यादी_क्रमांक
पालघर जिल्हा परिषदेच्या समाजकल्याण विभागात मंजूर १७ पदांपैकी १६ पदे रिक्त असल्याबाबत,६,४७८१६ ,['श्री.श्रीनिवास वनगा (पालघर)'],मुख्यमंत्री,०६-१०-२०२२,"(१) पालघर जिल्हा परिषदेच्या समाज कल्याण विभागात मंजूर १७ पदांपैकी १६ पदे रिक्त आहेत, हे खरे आहे काय, (२) असल्यास, पालघर जिल्ह्यातील सामाजिक, आर्थिक दुर्बल घटकांच्या विकासासाठी विविध शासकीय योजना राबविण्यासाठी समाज कल्याण विभागाकडे पुरेसे मनुष्यबळ उपलब्ध नसल्याने विविध योजनांपासून लाभाथ्र्याना वंचित रहावे लागत आहे, हे ही खरे आहे काय, (३) असल्यास, उक्त ठिकाणी एवढया मोठया प्रमाणात पदे रिक्त असण्याची कारणे काय आहेत व रिक्त असलेली पदे तातडीने भरण्याच्या दृष्ठीने शासनाने काणेती कार्यवाही केली वा करण्यात येत ओहत, (४) नसल्यास विलंबाची कारणे काय आहेत ?",श्री. एकनाथ शिंदे,२८-०३-२०२३,"श्री. एकनाथ शिंदे (२८-०३-२०२३) : (१) अंशत: खरे आहे. (२) जिल्हा समाज कल्याण अधिकारी, जिल्हा परिषद, पालघर या पदाचा अतिरिक्त कार्यभार मुख्य कार्यकारी अधिकारी, जिल्हा परिषद, पालघर यांनी स्थानिक व्यवस्थेतर्गत इतर विभागातील अधिकारी यांचेकडे सोपविला आहे. तसेच अन्य संवर्गाचे कामकाजासाठी कामकाज व्यवस्थेतर्गत प्रतिनियुक्तीने गट-क संवर्गातील दोन कर्मचारी प्रतिनियुक्तीने नियुक्त केलेले आहेत व गट- ड संवर्गातील एका कर्मचार्याची बाह्यस्त्रोताव्दारे प्रतिनियुक्ती देण्यात आली असून अन्य तीन गट-क संवर्गातील कर्मचार्यांच्या पदभार सक्षम कर्मचार्यांकडे अतिरीक्त कार्यभार म्हणून सोपविण्यात आलेला आहे. असे एकूण ६ अधिकारी/कर्मचारी कार्यरत आहेत. (३) समाज कल्याण आयुक्तालयांच्या अतर्गत गट-अ व गट-ब संवर्गातील सरळसेवेच्या कोट्यातील रिक्त पदे भरण्यासाठी महाराष्ट्र लोकसेवा आयोगास मागणीपत्र पाठविण्यात आले आहे. तसेच गट-क संवर्गातील पदे शासनाने ठरविलेल्या TCS, IBPS, या दोनपैकी एका कंपन्यामार्फत भरण्याची कार्यवाही आयुक्त, समाज कल्याण, पुणे यांच्या स्तरावरून सुरू आहे. (४) प्रश्र्न उद्भवत नाही.",विधानसभा,अतारांकित प्रश्न,पावसाळी,2023,http://mls.org.in/unstarred%20list/monsoon-session-2023/unstarred_question_yaadi_%E0%A5%A7%E0%A5%AC%E0%A5%A9.pdf,mahmls-969.pdf,,163
मालेगांव (जि.नाशिक ) तालुक्यातील शेतकर्यांना गेल्या दोन वर्षापासून शेतीचे नुकसान भरपाईचे अनुदान मिळाले नसल्याबाबत,७,४८६१२ ,['श्री.मुफती मोहम्मद इस्माईल अब्दुल खालिक (मालेगांव मध्य)'],मुख्यमंत्री,२०-०९-२०२२,"(१) मालेगांव (जि.नाशिक ) तालुक्यातील शेतकर्यांना गेल्या दोन वर्षापासून शेतीचे नुकसान भरपाईचे अनुदान मिळाले नसल्याचे माहे मे,२०२२ मध्ये वा त्यादरम्यान निदर्शनास आले, हे खरे आहे काय, (२) असल्यास, अस्ताणे येथील तलाठ्यानी ज्या बॅकेत शेतकर्यांचे खातेच नाही अशा बँकेचा नंबर यादी दिली आहे त्यामुळे शेतकर्यांना मिळणारे अनुदान गेल्या दोन वर्षापासून मिळत नाही, हे ही खरे आहे काय, (३) असल्यास, सदर प्रकरणाची चौकशी करण्यासाठी अपर जिल्हाधिकारी, मालेगांव यांचे अध्यक्षेतेखाली गठीत केलेल्या समितीच्या अहवालातील पुढील कार्यवाही जिल्हाधिकारी, नाशिक यांचेमार्फत करण्यात येणार आहे, हे ही खरे आहे काय, (४) असल्यास, उक्त अहवालाच्या अनुषंगाने शेतकर्यांना नुसाभरपाई देण्याबाबत शासनाने कोणती कार्यवाही केली वा करण्यात येत आहे, (५) नसल्यास, विलंबाची कारणे काय आहेत ?",श्री. एकनाथ शिंदे,१०-०५-२०२३,"श्री. एकनाथ शिंदे (१०-०५-२०२३) : (१) माहे जून ते ऑक्टोबर,२०२० या कालावधीत अतिवृष्टी व पूरामुळे झालेल्या शेतीपिकांच्या नुकसानीकरिता मालेगाव तालुक्यासाठी अनुक्रमे सन २०२०-२१ मध्ये रू.८९.३१ लक्ष व सन २०२१-२२ मध्ये रू.५९.७० लक्ष असा एकूण रू.१४९.०१ लक्ष इतका निधी वितरीत करण्यात आलेला आहे. तथापि, अतिवृष्टीच्या निकषानुसार शेतीपिकांचे नुसान झालेल्या काही शेतक-यांना मदत मिळाली नाही, हे खरे आहे. (२) उपविभागीय अधिकारी, मालेगाव यांचेकडील अहवालानुसार मालेगाव तालुक्यात अशी बाब निदर्शनास आलेली नाही. मौजे-अस्ताने, ता.मालेगाव येथे सन-२०२० मध्ये ६०५ शेतक-यांना रू.४४,१३,६०४/- व सन-२०२१ मध्ये ६०६ शेतक-यांना रू.२८,४४,६६१/- इतका निधी वाटप करण्यात आलेला आहे. (३) होय, निधी वाटपा संदर्भात चौकशी करणेकामी अपर जिल्हाधिकारी मालेगाव यांचे अध्यक्षतेखाली गठीत करण्यात आलेल्या समितीच्या अहवालानुसार प्रस्तुत प्रकरणातील दोषी अधिकारी तहसिलदार, मालेगाव तसेच, संबंधित संकलन महसूल सहायक, तहसिल, मालेगाव आणि सजा वडगाव,नरडाणे, अजंग/निळगव्हाण आधार बु. ढवळेश्वर व बेळगाव, अजंदे बु. या सजेच्या तलाठयांविरूध्द प्रशासकीय कारवाई करण्यात येत आहे. तसेच, कृषी विभागाकडील व ग्रामविकास विभागाकडील दोषी अधिकारी/कर्मचारी यांचे विरूध्द प्रशासकीय कारवाई सुरू करणेबाबत संबंधित खाते प्रमुखांना जिल्हाधिकारी यांचेकडून लेखी कळविण्यात आले आहे. (४) समितीच्या शिफारशीनुसार वाटपासाठी देय असलेले रू.६,०६,०८,४४७/- व सततच्या पावसामुळे ३३ टक्के पेक्षा अधिक झालेल्या पिक नुकसानीसाठी रू.१९,५१,००,०००/- यास खास बाब म्हणून मान्यता देऊन एकूण रू.२५,५७,०८,४४७/- इतका निधीची मागणी जिल्हाधिकारी, नाशिक यांनी शासनाकडे केली होती. त्याअनुषंगाने महसूल व वन विभाग शासन निर्णय दि.१५.०७.२०२२ अन्वये रू.६,०६,०८,०००/- इतका देय निधी मंजूर करण्यात आला असून, हा निधी जिल्हाधिकारी कार्यालय, नाशिक यांच्या कार्यालयीन आदेश क्र.कक्ष-१३/३/टंचाई /७/२६/४४६/ २०२२, दि.२८.७.२०२२ अन्वये तहसिलदार मालेगाव यांना वितरीत करण्यात आलेला आहे. उर्वरित निधीची मागणी निकषात बसत नसल्याने अमान्य करण्यात आली आहे. (५) प्रश्र्न उदभवत नाही.",विधानसभा,अतारांकित प्रश्न,पावसाळी,2023,http://mls.org.in/unstarred%20list/monsoon-session-2023/unstarred_question_yaadi_%E0%A5%A7%E0%A5%AC%E0%A5%A9.pdf,mahmls-969.pdf,,163
नांदेड-वाघाळा महानगरपालिकेतील निविदा प्रक्रियेस दिलेली स्थगिती उठविण्याबाबत,८,४९४३२ ,['श्री.अशोकराव चव्हाण (भोकर)'],मुख्यमंत्री,१०-११-२०२२,"(१) नांदेड-वाघाळा (जि.नांदेड) शहर महानगरपालिकेच्या सर्वसाधारण सभेने महानगरपालिकेच्या मालकीच्या महात्मा फुले व्यापारी संकुल तसेच जनता मार्केट शिवाजीनगर व्यापारी संकुल यांच्या BOT/PPP तत्वावरील विकास कामांना मान्यता प्रदान केली आहे, हे खरे आहे काय, (२) असल्यास, सदर कामांच्या निविदा प्रक्रियेस शासनाने स्थगिती दिली आहे, हे ही खरे आहे काय, (३) असल्यास, नांदेड-वाघाळा महानगरपालिका ही ‘ड’ वर्ग महानगरपालिका असून शासनाकडून मिळणारे अपुरे अनुदान व महानगरपालिकेचे अत्यल्प उत्पन्न लक्षात घेता महानगरपालिकेची आर्थिक स्थिती बिकट असल्याने, महानगरपालिका स्वनिधीतून सदर विकास कामे होऊ शकणार नाही, हे ही खरे आहे काय, (४) असल्यास, उपरोक्त दोन्ही व्यापारी संकुलाच्या इमारती खुप जुन्या असून तांत्रिक दृष्ट्या व सार्वजनिक हिताच्या दृष्टीकोनातून सदर इमारती वापरण्यास योग्य नाहीत, हे ही खरे आहे काय, (५) असल्यास, महानगरपालिकेने महानगरपालिका अधिनियमांतर्गत तरतुदीनुसार प्रक्रीया नियमांचे काटेकोरपणे पालन करून निविदा प्रक्रिया राबविली असल्यामुळे या निविदा प्रक्रियेस दिलेली स्थगिती उठविण्याची विनंती स्थानिक लोकप्रतिनिधींनी शासनास केली आहे, हे ही खरे आहे काय, (६) असल्यास, उपरोक्त निविदा प्रक्रीयेस देण्यात आलेली स्थगिती उठवण्यासंदर्भात शासनाकडून कोणती कार्यवाही करण्यात आली आहे वा करण्यात येत आहे, नसल्यास, विलंबाची कारणे काय आहेत ?",श्री. एकनाथ शिंदे,२४-०५-२०२३,"श्री. एकनाथ शिंदे (२४-०५-२०२३) : (१) होय. हे खरे आहे. नांदेड वाघाळा शहर महानगरपालिकेच्या मालकीचे महात्मा फुले मार्केट PPP तत्वावर विकसीत करण्यासाठी सर्वसाधारण सभा ठराव क्र.२२ दि.२.४.२०१३ व ठराव क्र.१४६ दि.२७.२.२०१७ अन्वये मान्यता प्रदान केली आहे. तसेच जनता मार्केट शिवाजीनगर व्यापारी संकुल PPP तत्वावर विकसीत करण्यासाठी सर्वसाधारण सभा ठराव क्र.१३७ दि.२२.११.२०२१ व ठराव क्र.४३ दि.१०.८.२०२२ अन्वये मान्यता प्रदान केली आहे. (२) होय. हे खरे आहे. शासन पत्र दिनांक ७.९.२०२२ अन्वये महात्मा फुले व्यापारी संकुलाबाबत महानगरपालिकेने विकासकासोबत केलेल्या करारास व जनता मार्केट, शिवाजीनगर व्यापारी संकुल निविदा मंजुरीला स्थगिती दिली आहे. (३) व (४) होय. हे खरे आहे. दोन्ही व्यापारी संकुलाच्या इमारती मोठ्या प्रमाणात नादुरूस्त असून नविन विकास नियंत्रण नियमावलीनुसार बांधकाम केल्यास उपलब्ध TDR/FSI नुसार वाढीव बांधकामासह वाहनतळ व इतर अत्याधुनिक सेवा उपलब्ध करून देणे शक्य आहे. तथापि, महानगरपालिकेची आर्थिक स्थिती लक्षात घेता सदरचे व्यापारी संकुल स्वनिधीतून बांधणे शक्य होणार नसल्याने सदरचा प्रकल्प BOT/PPP तत्वावर हाती घेण्यासाठी महानगरपालिका सर्वसाधारण सभेने मान्यता प्रदान केल्यानुसार दोन्ही प्रकल्प हाती घेण्यात आल्याचे नांदेड वाघाळा शहर महानगरपालिका यांनी कळविले आहे. (५) होय. हे खरे आहे. (६) महात्मा फुले व्यापारी संकुलाबाबत महानगरपालिकेने विकासकासोबत केलेल्या करारास व जनता मार्केट, शिवाजीनगर व्यापारी संकुल निविदा मंजुरीला देण्यात आलेली स्थगिती नगर विकास विभाग,शासन निर्णय, दि.२३.३.२०२३ अन्वये उठविण्यात आली आहे.",विधानसभा,अतारांकित प्रश्न,पावसाळी,2023,http://mls.org.in/unstarred%20list/monsoon-session-2023/unstarred_question_yaadi_%E0%A5%A7%E0%A5%AC%E0%A5%A9.pdf,mahmls-969.pdf,,163
"मौजे तिवरे (ता.चिपळूण, जि. रत्नागिरी) येथील धरण फुटीच्या चौकशीबाबत",९,४९६०५ ,['श्री.भास्कर जाधव (गुहागर)'],मुख्यमंत्री,१८-०१-२०२३,"(१) मौजे तिवरे (ता.चिपळूण, जि.रत्नागिरी) येथील धरण फुटून २३ जणांना प्राण गमवावे लागल्याची दुर्घटना दिनांक २ जुलै, २०१९ रोजी वा त्यासुमारास निदर्शनास आली आहे, हे खरे आहे काय, (२) असल्यास, सदर दुर्घटनेच्या चौकशीसाठी विशेष तपासणी पथक (एसआयटी) आणि नंतर डॉ.दिलीप पांढरपट्टे यांच्या अध्यक्षतेखाली पुनर्विलोकन चौकशी समिती नेमण्यात आली, हे ही खरे आहे काय, (३) असल्यास, तसेच उक्त चौकशी समितीचा अहवाल शासनाला प्राप्त झाला आहे काय व सदर अहवालामध्ये कोणते निष्कर्ष काढण्यात आले आहेत, (४) असल्यास, उक्त प्रकरणी शासनाने चौकशी केली आहे काय, चौकशीच्या अनुषंगाने संबंधितावर कोणती कारवाई केली वा करण्यात येत आहे (५) नसल्यास, विलंबाची कारणे काय आहेत ?",श्री. एकनाथ शिंदे,१८-०५-२०२३,"श्री. एकनाथ शिंदे (१८-०५-२०२३) : (१) व (२) होय, हे खरे आहे. (३) सदर धरणफुटीच्या अनुषंगाने पुनर्विलोकन समितीने अहवाल दिनांक १७ फेब्रुवारी, २०२१ रोजी सादर केला आहे (४) होय, सबंधित अधिकारी व कर्मचार्यांविरूध्द कार्यवाही करण्याच्या दृष्टीने उपस्थित मुद्दयांच्या अनुषंगाने विभागीय स्तरावर कार्यवाही प्रगतीपथावर आहे. (५) प्रश्र्न उद्भवत नाही.",विधानसभा,अतारांकित प्रश्न,पावसाळी,2023,http://mls.org.in/unstarred%20list/monsoon-session-2023/unstarred_question_yaadi_%E0%A5%A7%E0%A5%AC%E0%A5%A9.pdf,mahmls-969.pdf,,163
राज्य परिवहन महामंडळामधील महिला कर्मचारी बालसंगोपन रजेपासून वंचित असल्याबाबत,१०,४९९६६ ,"['श्री.रोहित पवार (कर्जत जामखेड)', 'श्री.अस्लम शेख (मालाड पश्चिम)', 'श्री.झीशान सिद्दिकी (वांद्रे पूर्व)', 'श्री.मोहन मते (नागपूर दक्षिण)', 'श्री.गोवर्धन मांगीलाल शर्मा (ऊर्फ) लालाजी (अकोला पश्चिम)']",मुख्यमंत्री,१८-०१-२०२३,"(१) राज्य परिवहन महामंडळाच्या महिला कर्मचार्यांना तसेच ज्या कमर्चार्यांच्या पत्नी अनेक आजाराने ग्रस्त आहेत अशा कर्मचार्यांना बालसंगोपन रजा देण्याचा निर्णय शासनाने माहे डिसेंबर, २०१८ मध्ये वा त्यादरम्यान घेतल्याचे निदर्शनास आले आहे हे खरे आहे काय, (२) असल्यास, राज्य परिवहन महामंडळामधील महिला कर्मचार्यांना देण्यात येणार्या बालसंगोपन रजेचे नीट पालन होत नसल्याचे माहे सप्टेबर, २०२२ मध्ये वा त्यादरम्यान निदर्शनास आले आहे, हे ही खरे आहे काय, (३) असल्यास, उक्त प्रकरणी निकषात बसणार्या सर्व स्त्री व पुरूष कर्मचार्यांना सहा महिन्यांची पगारी रजा देण्याचे व त्याचे योग्यरित्या पालन करण्यासाठी शासनाने कोणती उपाययोजना केली वा करण्यात येत आहे, (४) नसल्यास, विलंबाची कारणे काय आहेत ?",श्री. एकनाथ शिंदे,११-०५-२०२३,"श्री. एकनाथ शिंदे (११-०५-२०२३) : (१), (२), (३) व (४) महिला कर्मचार्यांना बालसंगोपन रजेचा लाभ शासन निर्णय, वित्त विभाग, क्र.संकीर्ण-२०१७/प्र.क्र./२५/सेवा-६, दि.२३.०७.२०१८ अन्वये देण्यात आला असून त्याची अमंलबजावणी रा.प. महामंडळात देखील करण्याबाबत, महामंडळ ठराव क्र.२०१८:१२:३३, दि.३१.१२.२०१८ पारित करण्यात आला आहे व त्यानुसार परिपत्रकीय सुचना निर्गमित करण्यात आलेल्या आहेत. रा.प.महामंडळातील ज्या पुरूष कर्मचार्यांची पत्नी विविध आजाराच्या कारणास्तव जेवढया कालावधीसाठी अंथरूणात खिळलेली आहे, अथवा ज्यांची पत्नी मनोरूग्ण असल्यामुळे जेवढया कालावधीसाठी बालसंगोपन करण्यास असमर्थ होत आहे, अशा रा.प. महामंडळाच्या पुरूष कर्मचार्यांना शासन निर्णय, वित्त विभाग, क्र.संकीर्ण २०१७/प्र.क्र.२५/सेवा-६ दि.१५.१२.२०१८ नुसार विहित केलेल्या मार्गदर्शक सूचनेच्या अधिन राहून १८० दिवस कमाल मर्यादेपर्यंत बालसंगोपन रजा देण्याबाबत दिनांक.३०.०८.२०१९ रोजी ठराव झाला असून,दि.२०.०९.२०१९ रोजी परिपत्रकीय सुचना निर्गमित करण्यात आलेल्या आहेत. त्यानुसार पात्र कर्मचार्यांना त्याचा लाभ देय केलेला आहे.",विधानसभा,अतारांकित प्रश्न,पावसाळी,2023,http://mls.org.in/unstarred%20list/monsoon-session-2023/unstarred_question_yaadi_%E0%A5%A7%E0%A5%AC%E0%A5%A9.pdf,mahmls-969.pdf,,163
केंद्र शासनाकडून मौलाना आझाद आर्थिक विकास महामंडळासाठी देण्यात येणार्या निधीबाबत,११,५०१४२ ,"['श्री.अस्लम शेख (मालाड पश्चिम)', 'श्री.झीशान सिद्दिकी (वांद्रे पूर्व)']",मुख्यमंत्री,१८-०१-२०२३,"(१) केंद्र शासनाकडून मौलाना आझाद आर्थिक विकास महामंडळासाठी देण्यात येणार्या १५० कोटी रूपयाच्या निधीसाठी राज्य शासन हमी देणार असल्याचे माहे मार्च,२०२२ मध्ये वा त्यादरम्यान निदर्शनास आले आहे, हे खरे आहे काय, (२) असल्यास, आतापर्यंत मौलाना आझाद आर्थिक विकास महामंडळातर्फे वितरीत केलेल्या कर्जा पैकी किती कर्जाची परतफेडेची रक्कम महामंडळाकडे जमा झाली आहे, (३) असल्यास, याप्रकरणी शासनाने चौकशी केली आहे काय, त्यानुसार उर्वरित कर्जाच्या वसुलीकरिता कोणती कार्यवाही केली वा करण्यात येत आहे, (४) नसल्यास, विलंबाची सर्वसाधारण कारणे काय आहेत?",श्री. एकनाथ शिंदे,१२-०५-२०२३,"श्री. एकनाथ शिंदे (१२-०५-२०२३) : (१) अंशत: खरे आहे, राष्ट्रीय अल्पसंख्याक विकास एवं वित्त निगम, नवी दिल्ली यांच्याकडून महामंडळाने शासन हमीवर आतापर्यंत रू. ९४.३४ कोटी इतके कर्ज घेतले आहे. (२) विविध कर्ज योजनेअंतर्गत माहे डिसेंबर २०२२ पर्यंत ८२९५४ लाभाथ्र्यांना रू. ४७१.१४ कोटी इतके कर्ज वितरीत करण्यात आले असून त्यापैकी रू. ५३.७३ कोटी इतकी रक्कम वसुल करण्यात आलेली आहे. (३) विभागनिहाय वसुली कामे पार पाडण्यासाठी अधिकारी/कर्मचारी यांची नियुक्ती करण्यात आली आहे. वसुली अधिकार्यांना संबंधीत विभागातील जिल्हयातील कर्ज वसुलीसाठी लाभाथ्र्यांशी व जामीनदारांशी संपर्क साधणे, नोटीसा पाठविणे, लाभाथ्र्यांना प्रत्यक्ष भेट देऊन वसुलीसाठी प्रोत्साहित करण्याच्या सूचना देण्यात आलेल्या आहेत. (४) प्रश्र्न उद्भवत नाही.",विधानसभा,अतारांकित प्रश्न,पावसाळी,2023,http://mls.org.in/unstarred%20list/monsoon-session-2023/unstarred_question_yaadi_%E0%A5%A7%E0%A5%AC%E0%A5%A9.pdf,mahmls-969.pdf,,163
राज्य परिवहन महामंडळाला महाग डिझेल मिळत असल्याबाबत,१२,५०१४८ ,['श्री.रोहित पवार (कर्जत जामखेड)'],मुख्यमंत्री,१८-०१-२०२३,"(१) राज्य परिवहन महामंडळाला तेल कंपन्याकडून होलसेल दरात दिले जाणारे डिझेल लिटरमागे २३ रूपयांनी महाग असल्याचे माहे सप्टेंबर, २०२२ मध्ये वा त्यादरम्यान निदर्शनास आले आहे, हे खरे आहे काय, (२) असल्यास, उक्त प्रकरणी वाढीव दराने डिझेल खरेदी केल्यामुळे एसटी महामंडळाला आजपर्यंत किती रक्कमेचा भरणा करावा लागला असून सदर डिझेल कमी दराने खरेदी करण्याबाबत शासनाने कोणती उपाययोजना केली वा करण्यात येत आहे, (३) नसल्यास, विलंबाची कारणे काय आहेत ?",श्री. एकनाथ शिंदे,१९-०५-२०२३,"श्री. एकनाथ शिंदे (१९-०५-२०२३) : (१), (२) व (३) मार्च २०२२ च्या दरम्यान घाऊक व किरकोळ दरातील तफावत निर्दशनास आल्याने, रा.प.महामंडळाने तेल कंपन्यांकडून डिझेलची थेट खरेदी बंद केली व किरकोळ विक्रेत्यांच्या खाजगी डिझेल पंपावरून डिझेल खरेदी करण्यात येते. त्यामुळे वाढीव दराने डिझेल खरेदी झालेली नाही.",विधानसभा,अतारांकित प्रश्न,पावसाळी,2023,http://mls.org.in/unstarred%20list/monsoon-session-2023/unstarred_question_yaadi_%E0%A5%A7%E0%A5%AC%E0%A5%A9.pdf,mahmls-969.pdf,,163
परभणी जिल्ह्यातील बसस्थानकात पिण्याच्या पाण्याची व्यवस्था नसल्याबाबत,१३,५०१६३ ,['डॉ.राहूल पाटील (परभणी)'],मुख्यमंत्री,१८-०१-२०२३,"(१) परभणी जिल्ह्यातील बस स्थानकात गत महिन्यांपासून पिण्याच्या पाण्याची व्यवस्था नसल्याने प्रवाशांची गैरसोय होत असल्याचे माहे नोव्हेंबर, २०२२ मध्ये वा त्यादरम्यान निदर्शनास आले आहे, हे खरे आहे काय, (२) असल्यास, बस स्थानकात प्रवाश्याना सोयी-सुविधा मिळणे ही अत्यावश्यक बाब असून देखील काही बस स्थानकात पिण्याच्या पाण्याची व्यवस्था असूनही दुषित पाणी येत असल्यामुळे शेकडो प्रवासी साथीच्या रोगाने मोठया प्रमाणात आजारी पडत असल्याचे निदर्शनास येत आहे, हे ही खरे आहे काय, (३) असल्यास, उक्त प्रकरणी शासनाने चौकशी केली आहे काय, चौकशीअंती काय आढळून आले आहे, त्यानुसार बस स्थानकात पिण्यायोग्य शुध्द पाणी प्रवाशांना पुरविण्याबाबत शासनाने कोणती कार्यवाही वा उपाययोजना केली वा करण्यात येत आहे, (४) नसल्यास, विलंबाची कारणे काय आहेत ?",श्री. एकनाथ शिंदे,१९-०५-२०२३,श्री. एकनाथ शिंदे (१९-०५-२०२३) : (१) व (२) हे खरे नाही. (३) व (४) सदर ठिकाणी प्रवाशांना पिण्यासाठी २००० लिटर पी.व्ही.सी. टँक बसवून त्या सोबत वॉटर कुलर बसविण्यात आलेला आहे.,विधानसभा,अतारांकित प्रश्न,पावसाळी,2023,http://mls.org.in/unstarred%20list/monsoon-session-2023/unstarred_question_yaadi_%E0%A5%A7%E0%A5%AC%E0%A5%A9.pdf,mahmls-969.pdf,,163
मालेगांव (जि.नाशिक) येथे मुख्य नवीन बसस्थानकात वाहनतळ (पार्किंग) सुविधा करण्याबाबत,१४,५०२११ ,['श्री.मुफती मोहम्मद इस्माईल अब्दुल खालिक (मालेगांव मध्य)'],मुख्यमंत्री,१८-०१-२०२३,"(१) मालेगांव (जि.नाशिक) येथील मुख्य नवीन बसस्थानकात वाहनतळ सुविधा बंद केल्याचे माहे नोव्हेंबर, २०२२ मध्ये वा त्यादरम्यान निदर्शनास आले आहे, हे खरे आहे काय, (२) असल्यास, बस स्थानकात वाहनतळ सुविधा बंद केल्यामुळे वाहतुकेंडी होत असून नारिकांचे गैरसोय होत असल्याचे निदर्शनास आले आहे, हे ही खरे आहे काय (३) असल्यास, सदर परिसरातील वाहतूक केंडीची समस्या सोडविण्यासाठी बस स्थानकात वाहनतळ सुविधा लवकरात लवकर सुरू करण्याची मागणी स्थानिक नागरिकांकडून होत आहे हे खरे आहे काय, (४) असल्यास, उक्त प्रकरणी शासनाने चौकशी केली आहे काय व चौकशीच्या अनुषंगाने परिसरातील वाहतूक केंडीची समस्या सोडविण्यासाठी शासन स्तरावर कोणती कार्यवाही केली वा करण्यात येत आहे, (५) नसल्यास, विलंबाची कारणे काय आहेत,",श्री. एकनाथ शिंदे,१९-०५-२०२३,"श्री. एकनाथ शिंदे (१९-०५-२०२३) : (१), (२) व (३) होय. (४) व (५) मालेगांव महानगरपालिका यांच्याशी समन्वय साधून मालेगांव बसस्थानकावर ‘वाहनतळ’ या वाणिज्य आस्थापनेकरिता जागा निश्चित करून ई-निविदा प्रक्रिया कार्यवाही प्रस्तावित आहे.",विधानसभा,अतारांकित प्रश्न,पावसाळी,2023,http://mls.org.in/unstarred%20list/monsoon-session-2023/unstarred_question_yaadi_%E0%A5%A7%E0%A5%AC%E0%A5%A9.pdf,mahmls-969.pdf,,163
राज्य परिवहन महामंडळाच्या संचालक मंडळाची बैठक न झाल्याबाबत,१५,५०५९७ ,"['श्री.अजित पवार (बारामती)', 'श्री.दिलीप वळसे-पाटील (आंबेगाव)', 'श्री.छगन भुजबळ (येवला)', 'श्री.हसन मुश्रीफ (कागल)', 'श्री.रोहित पवार (कर्जत जामखेड)', 'श्री.दत्तात्रय भरणे (इंदापूर)', 'श्री.बाबासाहेब पाटील (अहमदपूर)']",मुख्यमंत्री,२२-०१-२०२३,"(१) राज्यातील प्रवाशांची प्रमुख वाहिनी असणार्या राज्य परिवहन महामंडळाच्या संचालक मंडळाची बैठक पुढे ढकलण्यात आल्याचे माहे नोव्हेंबर, २०२२ मध्ये वा त्यादरम्यान निदर्शनास आले आहे, हे खरे आहे काय, (२) असल्यास, सुरक्षित प्रवास वाहतुकीसाठी राज्य परिवहन महामंडळाच्या ताफ्यात ५,१५० विद्युत बसेस घेणे, सीएनजी ऐवजी दोन हजार डिझेल वाहनांचा समावेश करणे, वैद्यकीय खर्चाची प्रतिपुर्ती यासह एकुण २६ विषय या बैठकीच्या सुचीमध्ये होते, हे ही खरे हे काय, (३) असल्यास, दिनांक २८ आक्टेंबर, २०२२ व ०४ नोव्हेंबर, २०२२ अशा अनुक्रमे दोन वेळा बैठका रद्द झाल्यामुळे राज्य परिवहन महामंडळाच्या कर्मचार्यांमध्ये उदासीनतेची भावना निर्माण झाली आहे हे ही खरे आहे काय, (४) असल्यास, राज्य परिवहन महामंडळाच्या अधिकार्यांची सुधारीत वेतनवाढ, आधुनिक तंत्रज्ञानाच्या संकेतस्थळाचा विकास, पार्सल व कुरीअर सेवेतील कंपन्यांना मुदतवाढ देण्याबाबतचे धोरणात्मक निर्णय प्रलंबित असताना शासन वेळोवेळी बैठका रद्द करून वेळकाढू भुमिका घेत आहे, हे ही खरे आहे काय, (५) असल्यास, सदर प्रकरणी शासनाने चौकशी केली आहे काय, चौकशीत काय आढळून आले, तदनुषंगाने उक्त विषयाबाबत बैठक घेवून निर्णय घेण्याबाबत कोणती उपाययोजना वा कार्यवाही केली वा करण्यात येत आहे, (६) नसल्यास,विलंबाची कारणे काय आहेत?",श्री. एकनाथ शिंदे,२४-०५-२०२३,"श्री. एकनाथ शिंदे (२४-०५-२०२३) : (१) व (२) होय. (३), (४), (५) व (६) दि.१८.११.२०२२ रोजी झालेल्या संचालक मंडळाच्या बैठकीमध्ये नमूद केलेल्या विषयासह रा.प.महामंडळाच्या हिताच्या दृष्टिने धोरणात्मक व अधिकारी/कर्मचारी तसेच प्रवाशांच्या हिताचे निर्णय घेण्यात आले आहेत.",विधानसभा,अतारांकित प्रश्न,पावसाळी,2023,http://mls.org.in/unstarred%20list/monsoon-session-2023/unstarred_question_yaadi_%E0%A5%A7%E0%A5%AC%E0%A5%A9.pdf,mahmls-969.pdf,,163
